start_station_name,start_station_latitude,start_station_longitude,usertype,num_trips
E 17 St & Broadway,40.73704984,-73.99009296,Subscriber,263757
W 21 St & 6 Ave,40.74173969,-73.99415556,Subscriber,262408
Lafayette St & E 8 St,40.73028666,-73.9907647,Subscriber,257400
Pershing Square North,40.751873,-73.977706,Subscriber,230500
Broadway & E 14 St,40.73454567,-73.99074142,Subscriber,221415
Broadway & E 22 St,40.7403432,-73.98955109,Subscriber,220336
8 Ave & W 33 St,40.751551,-73.993934,Subscriber,208454
West St & Chambers St,40.71754834,-74.01322069,Subscriber,201440
W 41 St & 8 Ave,40.75640548,-73.9900262,Subscriber,194864
Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,Subscriber,191349
University Pl & E 14 St,40.73492695,-73.99200509,Subscriber,187587
Carmine St & 6 Ave,40.73038599,-74.00214988,Subscriber,185636
W 20 St & 11 Ave,40.746745,-74.007756,Subscriber,180079
Broadway & W 24 St,40.7423543,-73.98915076,Subscriber,178637
W 18 St & 6 Ave,40.73971301,-73.99456405,Subscriber,177762
Christopher St & Greenwich St,40.73291553,-74.00711384,Subscriber,176372
W 31 St & 7 Ave,40.749156,-73.9916,Subscriber,173005
Vesey Pl & River Terrace,40.7153379,-74.01658354,Subscriber,167724
W 38 St & 8 Ave,40.75466591,-73.99138152,Subscriber,167443
Lexington Ave & E 24 St,40.74025878,-73.98409214,Subscriber,162501
